,Donor City,Donor State,Donor Is Teacher,Teacher Project Posted Sequence,Project Type,Project Grade Level Category,Project Cost,Donated_y_n,School Metro Type,School Percentage Free Lunch,School State,School City,Project_res_total_cost,Donor_vs_school_state,Donor_vs_school_city,Project_posted_month,Project_posted_day_of_month,Num_hist_donations,Days_since_last_donation,Avg_days_between_donations,Avg_donations_per_proj,Interest_in_optional,Total_interest_in_cat,Total_interest_in_subcat,Interest_in_res,Interest_in_grade,Interest_in_proj_type,Interest_in_metro,Interest_in_county,Interest_in_district,Interest_in_zip,Donation_month,Interest_in_month,Total_project_interest,Donor Cluster,School Cluster,Project Cluster,Distance,School Population,School Population Density,School Occupied Housing Units,School Median Home Value,School Median Household Income,Donor Population,Donor Population Density,Donor Occupied Housing Units,Donor Median Home Value,Donor Median Household Income
21,Whitestone,New York,0,2,2,3,0.020094518463140466,Y,3.0,0.5851063829787234,New York,New York City,0.03951334379905808,1,0,9,1,43,56.65983796296296,18.316423880275615,1.075,0.46511627906976744,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.023255813953488372,9.0,0.023255813953488372,0.3488372093023256,2,0,2,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
22,Jamaica Plain,Massachusetts,0,4,2,2,0.12506341281072275,Y,3.0,0.7234042553191489,Massachusetts,Jamaica Plain,0.13927437641723356,1,1,7,10,82,15.39917824074074,15.476114357497732,1.0789473684210527,1.0,0.08536585365853658,0.04878048780487805,0.08536585365853659,0.08536585365853659,0.14634146341463414,0.13414634146341464,0.14634146341463414,0.14634146341463414,0.14634146341463414,7.0,0.012195121951219513,1.024390243902439,2,3,5,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
23,Glen Ellyn,Illinois,0,3,2,3,0.01521106453421622,Y,4.0,0.1595744680851064,California,Truckee,0.03134484563055991,0,0,7,17,5,34.35960648148148,161.96516435185185,1.0,1.0,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.0,0.4,2.1999999999999997,2,0,2,0.3340609787132847,0.054188018997403165,0.00025013201411856257,0.09290709290709291,0.15474191020042546,0.1737609060982067,0.3862498642364163,0.09427197687668491,0.5057742257742258,0.22829036635006783,0.2494097665566504
24,Rochester,New York,0,4,2,1,0.03487838090406643,Y,3.0,0.3723404255319149,South Dakota,Sioux Falls,0.05282748997034711,0,0,5,12,3,8.461979166666667,438.6220949074074,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,3.666666666666667,2,0,2,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
25,Wayne,New Jersey,1,5,2,2,0.03850826369049208,Y,0.0,0.9468085106382979,New Jersey,Paterson,0.059661608233036796,1,0,6,25,3,67.62903935185186,64.49331018518518,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,3.3333333333333335,2,3,0,0.2743543686690332,0.09288387294252397,0.18103999332981296,0.2326073926073926,0.5499944015227858,0.4103455420244481,0.06411990639718007,0.058391929073677774,0.08923076923076922,0.7263681592039801,0.7042870220915947
26,Chapel Hill,North Carolina,1,2,2,2,0.01516166929217953,Y,0.0,0.22340425531914895,North Carolina,Chapel Hill,0.029024943310657594,1,1,8,28,23,2.702986111111111,62.018546698872775,1.0952380952380953,1.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,8.0,0.13043478260869565,0.3913043478260869,2,0,2,0.0,0.17347472772692712,0.00797643200578083,0.25874125874125875,0.1259657373194491,0.22088445866617556,0.1734910494771868,0.00797643200578083,0.25874125874125875,0.11736770691994572,0.17336601700835966
27,Midvale,Utah,1,3,2,4,0.055438816650201575,Y,0.0,0.5638297872340425,Utah,West Jordan,0.07818768533054248,1,0,6,3,9,37.15246527777778,51.72034722222222,1.0,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,6.0,0.1111111111111111,3.5555555555555554,2,0,0,0.0,0.007138837050860511,0.0008893582724215558,0.00951048951048951,0.15160676296047473,0.4148883108113293,0.007158443507538582,0.0008893582724215558,0.00951048951048951,0.14326096788783357,0.32563419981208896
28,Bettendorf,Iowa,0,50,2,2,0.04920967612741302,Y,1.0,0.553191489361702,South Carolina,Gray Court,0.06673643816500958,0,0,6,26,175,3.555671296296296,9.562775132275128,1.2681159420289856,1.0,0.13714285714285715,0.07428571428571429,0.022857142857142857,0.06285714285714286,0.14285714285714285,0.022857142857142857,0.011428571428571429,0.011428571428571429,0.011428571428571429,6.0,0.08571428571428572,0.4971428571428572,2,0,0,0.1301210111054423,0.10415000444325957,0.06853617186848615,0.18445554445554446,0.2579778300302318,0.13477903880537456,0.0010663612397436785,0.004724715822239515,0.0016383616383616384,0.054613297150610585,0.266484376882122
29,Cleveland,Ohio,0,66,2,1,0.04614583611459695,Y,0.0,0.26595744680851063,Florida,Orange Park,0.06801848944706088,0,0,8,28,788,2.1725578703703703,0.11663583674092592,3.456140350877193,0.7753807106598984,0.4365482233502538,0.32741116751269034,0.18908629441624367,0.31852791878172587,0.7982233502538071,0.1319796954314721,0.01649746192893401,0.01649746192893401,0.015228426395939087,8.0,0.3769035532994924,2.25,2,0,0,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.005578649078288688,0.47575109085350603,0.0,0.29637086791517037,0.26091688864662055
30,Cleveland,Ohio,0,1,2,4,0.02181133687555069,Y,0.0,0.6170212765957447,Florida,Gibsonton,0.04139194139194139,0,0,7,24,788,2.1725578703703703,0.11663583674092592,3.456140350877193,0.7753807106598984,0.4365482233502538,0.32741116751269034,0.5126903553299492,0.08883248730964467,0.7982233502538071,0.1319796954314721,0.04060913705583756,0.03807106598984772,0.0025380710659898475,7.0,0.33375634517766495,2.3769035532994924,2,3,2,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.005578649078288688,0.47575109085350603,0.0,0.29637086791517037,0.26091688864662055
31,Irmo,South Carolina,1,2,2,1,0.027255493551918402,Y,3.0,0.32978723404255317,California,Santa Clara,0.043432757718472,0,0,6,14,110,3.5568055555555556,4.637676662457905,1.0891089108910892,1.0,0.12727272727272726,0.08181818181818182,0.2,0.1,0.23636363636363636,0.09090909090909091,0.0,0.0,0.0,6.0,0.06363636363636363,0.8363636363636363,2,0,2,0.46888563460893073,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.021208740212679825,0.0009171507184347295,0.03132867132867133,0.05235187697874265,0.11263220024572984
32,Denver,Colorado,0,9,2,2,0.19581608949883852,Y,3.0,0.9574468085106383,Colorado,Denver,0.21803593232164659,1,1,6,16,30,16.381030092592592,41.76301041666667,1.0,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,0.13333333333333333,0.36666666666666664,2,3,3,0.0,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
33,Joplin,Missouri,1,66,2,1,0.04614583611459695,Y,0.0,0.26595744680851063,Florida,Orange Park,0.06801848944706088,0,0,8,28,1006,1.0614814814814815,0.42563809273984954,2.012,0.23757455268389663,0.1848906560636183,0.12922465208747516,0.14314115308151093,0.2147117296222664,0.5437375745526839,0.1143141153081511,0.006958250497017893,0.006958250497017893,0.006958250497017893,8.0,0.29025844930417494,1.3508946322067592,2,0,0,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.3431412237482598,0.016453128039798783,0.56991008991009,0.07417458163726821,0.13706666024235709
34,Joplin,Missouri,1,1,2,4,0.02181133687555069,Y,0.0,0.6170212765957447,Florida,Gibsonton,0.04139194139194139,0,0,7,24,1006,1.0614814814814815,0.42563809273984954,2.012,0.23757455268389663,0.1848906560636183,0.12922465208747516,0.28330019880715707,0.042743538767395624,0.5437375745526839,0.1143141153081511,0.009940357852882704,0.007952286282306162,0.0009940357852882703,7.0,0.24552683896620278,1.3170974155069584,2,3,2,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.3431412237482598,0.016453128039798783,0.56991008991009,0.07417458163726821,0.13706666024235709
35,Oklahoma City,Oklahoma,0,2,2,3,0.00981229808026059,Y,3.0,0.9361702127659574,Oklahoma,Oklahoma City,0.02616256759113902,1,1,8,31,42,0.45596064814814813,3.9943438602292707,1.0,0.6904761904761905,0.023809523809523808,0.0,0.047619047619047616,0.0,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,8.0,0.19047619047619047,0.7857142857142857,2,3,2,0.0,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
36,Los Angeles,California,0,5,2,2,0.2054655167810322,Y,3.0,0.3404255319148936,California,Los Angeles,0.2223024594453166,1,1,8,28,4531,2.396886574074074,0.37534717879708335,1.2784988713318284,1.0,0.008828073273008167,0.0035312293092032666,0.003089825645552858,0.0026484219819024497,0.008386669609357758,0.006621054954756124,0.005517545795630104,0.005517545795630104,0.00022070183182520416,8.0,0.0955638931803134,0.044361068196866034,2,0,3,0.0,0.563879261826476,0.45318362469080903,0.5183216783216783,0.2472287537789721,0.15802236085852195,0.563887874090384,0.45318362469080903,0.5183216783216783,0.2398236092265943,0.12402731937652076
37,Crofton,Nebraska,0,4,2,1,0.03487838090406643,Y,3.0,0.3723404255319149,South Dakota,Sioux Falls,0.05282748997034711,0,0,5,12,5,101.663125,245.90854166666668,1.25,1.0,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.0,0.2,2.1999999999999997,2,0,2,0.022215222599957524,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.30282684465683907,0.004502376254134127,0.49314685314685314,0.09090909090909091,0.19298224481437762
38,Garfield,New Jersey,1,182,2,4,0.11155314661041837,Y,0.0,0.5425531914893617,New Jersey,Clifton,0.13958660387231814,1,0,6,21,35,68.2853587962963,26.688831018518517,1.1290322580645162,0.05714285714285714,0.2,0.2857142857142857,0.22857142857142856,0.2857142857142857,0.2857142857142857,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,6.0,0.37142857142857144,2.314285714285714,2,0,5,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.160990926055747,0.11981323476279147,0.19408591408591408,0.2814337403889643,0.34111277072442125
39,Denver,Colorado,0,9,2,2,0.19581608949883852,Y,3.0,0.9574468085106383,Colorado,Denver,0.21803593232164659,1,1,6,16,7,14.23642361111111,16.291245039682536,1.0,1.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14285714285714285,6.0,0.14285714285714285,3.4285714285714275,2,3,3,0.0,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
40,Rego Park,New York,1,217,2,1,0.0333991936560489,Y,3.0,0.3936170212765957,New York,New York City,0.05407116692830979,1,0,7,28,244,0.2327662037037037,5.755014420157859,1.291005291005291,1.0,0.3483606557377049,0.12704918032786885,0.1598360655737705,0.29508196721311475,0.8237704918032787,0.3729508196721312,0.06557377049180328,0.12295081967213115,0.01639344262295082,7.0,0.45081967213114754,2.3319672131147535,2,0,2,,0.5048135312064931,1.0,0.932067932067932,0.7168290225058783,0.6205253343769424,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
41,Milwaukee,Wisconsin,0,15,2,4,0.09962886818145407,Y,3.0,0.8404255319148936,Wisconsin,Milwaukee,0.12653933368219084,1,1,7,20,10,14.229664351851852,127.01542013888889,1.1111111111111112,0.9,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,1.0999999999999999,2,3,5,0.0,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
42,Grove City,Ohio,0,5,2,1,0.07056444076575975,Y,3.0,0.6595744680851063,Ohio,Galloway,0.09473574045002615,1,0,8,5,5,12.344282407407407,77.35231712962963,1.0,0.8,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,8.0,0.8,2.4000000000000004,2,3,0,0.0,0.003732338043188483,0.038603707512298156,0.006153846153846154,0.04926659948494008,0.12597742428079223,0.003752011769468498,0.038603707512298156,0.006153846153846154,0.03991406603346902,0.0988761473415404
43,New York,New York,1,1,2,2,0.05078097882679625,Y,3.0,0.8617021276595744,Maryland,Baltimore,0.06901098901098901,0,0,5,15,3,107.13452546296297,41.44094135802469,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,0.3333333333333333,3.666666666666667,2,3,0,0.034342708762873105,0.1675602555367951,0.36569300464133847,0.3902097902097902,0.2012092710782667,0.09945747676818835,0.20835513778769538,0.9438036741613629,0.4407992007992008,0.6927860696517414,0.4045327519333157
44,La Crescenta,California,1,55,2,1,0.05626785571249299,Y,3.0,0.9574468085106383,South Carolina,Anderson,0.07076399790685504,0,0,6,22,1779,7.119143518518518,0.9505322122290857,1.244926522043387,0.12703766160764474,0.027543563799887576,0.005621135469364812,0.012928611579539067,0.006183249016301293,0.04328274311410905,0.03204047217537943,0.0,0.0,0.0,6.0,0.1045531197301855,0.12759977515458124,2,3,0,0.406911246975146,0.10415000444325957,0.06853617186848615,0.18445554445554446,0.2579778300302318,0.13477903880537456,0.22493310557963647,0.2681137266890859,0.3256743256743257,0.6533242876526459,0.2144294008528271
